Name,datetime,Temperature,feelslike,dewpoint,humidity,precipitation,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddirection,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,severerisk,conditions,,,,,
Pokhara,1/1/2020 0:00,38,34.4,29,69.76,0,0,,0,0,,4.7,220,1015.4,100,9.9,0,0,,Overcast,,,,,
Pokhara,1/1/2020 1:00,38,34.4,29.9,72.37,0,0,,0,0,,4.7,230,1015.3,100,9.9,0,0,,Overcast,,,,,
Pokhara,1/1/2020 2:00,38,35.7,30.8,75.06,0,0,,0,0,,3.4,230,1015.4,100,9.9,0,0,,Overcast,,,,,
Pokhara,1/1/2020 3:00,37.1,33.4,29.9,74.97,0,0,,0,0,,4.7,220,1015.3,88.9,9.9,0,0,,Partially cloudy,,,,,
Pokhara,1/1/2020 4:00,35.1,32.3,29,78.41,0,0,,0,0,,3.4,240,1015.2,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 5:00,34.1,29.8,28.1,78.64,0,0,,0,0,,4.7,230,1015.4,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 6:00,32,27.3,26.1,78.51,0,0,,0,0,,4.7,230,1015.8,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 7:00,32,27.3,25.1,75.33,0,0,,0,0,,4.7,230,1015.9,0,9.9,36,0,,Clear,,,,,
Pokhara,1/1/2020 8:00,33.2,27,26.1,74.88,0,0,,0,0,,6.9,230,1016.1,0,9.9,188,2,,Clear,,,,,
Pokhara,1/1/2020 9:00,37.1,30.5,27,66.41,0,0,,0,0,,9.2,220,1016.4,0,9.9,339,3,,Clear,,,,,
Pokhara,1/1/2020 10:00,41,34.8,26.1,55.03,0,0,,0,0,,10.3,200,1016.7,0,9.9,447,4,,Clear,,,,,
Pokhara,1/1/2020 11:00,44.1,38.2,25.1,46.91,0,0,,0,0,,11.4,200,1015.6,0,9.9,497,5,,Clear,,,,,
Pokhara,1/1/2020 12:00,46.1,40,27,46.93,0,0,,0,0,,13.9,210,1014.7,0,9.9,492,5,,Clear,,,,,
Pokhara,1/1/2020 13:00,48.8,43.1,28.1,44.48,0,0,,0,0,20.8,15,220,1013.3,0,9.9,420,4,,Clear,,,,,
Pokhara,1/1/2020 14:00,51.2,51.2,26.1,37.45,0,0,,0,0,21.9,11.4,210,1012.3,0,9.9,302,3,,Clear,,,,,
Pokhara,1/1/2020 15:00,51.2,51.2,25.1,35.93,0,0,,0,0,,15,210,1011.9,0,9.9,131,1,,Clear,,,,,
Pokhara,1/1/2020 16:00,50,45.6,24.2,36.15,0,0,,0,0,23,11.4,200,1011.8,0,9.9,1,0,,Clear,,,,,
Pokhara,1/1/2020 17:00,47,43.1,23,38.44,0,0,,0,0,,8.1,180,1011.1,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 18:00,45,40.1,24.2,43.66,0,0,,0,0,,9.2,180,1011.2,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 19:00,45,40.1,24.2,43.66,0,0,,0,0,,9.2,180,1010.9,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 20:00,45,38.2,24.2,43.66,0,0,,0,0,,15,190,1010.9,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 21:00,44.1,39.5,24.2,45.19,0,0,,0,0,,8.1,190,1010.7,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 22:00,43.1,37.3,24.2,46.95,0,0,,0,0,,10.3,180,1010.1,0,9.9,0,0,,Clear,,,,,
Pokhara,1/1/2020 23:00,43.1,36.5,24.2,46.95,0,0,,0,0,,12.8,190,1010,0,9.9,0,0,,Clear,,,,,
Pokhara,1/2/2020 0:00,42.2,36.7,25.1,50.45,0,0,,0,0,,9.2,180,1009.7,0,9.9,0,0,,Clear,,,,,
Pokhara,1/2/2020 1:00,43.1,37.8,25.1,48.74,0,0,,0,0,,9.2,180,1008.9,0,9.9,0,0,,Clear,,,,,
Pokhara,1/2/2020 2:00,42.2,36.7,26.1,52.59,0,0,,0,0,,9.2,180,1008.8,0,9.9,0,0,,Clear,,,,,
Pokhara,1/2/2020 3:00,43.1,37.3,27,52.73,0,0,,0,0,,10.3,180,1008.6,72.6,9.9,0,0,,Partially cloudy,,,,,
Pokhara,1/2/2020 4:00,44.1,40.1,28.1,53.23,0,0,,0,0,,6.9,170,1008.4,100,9.9,0,0,,Overcast,,,,,
Pokhara,1/2/2020 5:00,44.1,38.6,29,55.23,0,0,,0,0,,10.3,190,1008.1,27.3,9.9,0,0,,Partially cloudy,,,,,
Pokhara,1/2/2020 6:00,45,40.1,29.9,55.36,0,0,,0,0,,9.2,180,1008,88.9,9.9,0,0,,Partially cloudy,,,,,
Pokhara,1/2/2020 7:00,47,42.3,30.8,53.12,0,0,,0,0,,10.3,180,1008.1,100,9.9,8,0,,Overcast,,,,,
Pokhara,1/2/2020 8:00,48.8,45.8,33.2,54.56,0,0,,0,0,,6.9,200,1008.5,88.9,9.9,38,0,,Partially cloudy,,,,,
Pokhara,1/2/2020 9:00,50,45.9,34.1,54.16,0,0,,0,0,,10.3,190,1008.8,88.9,9.9,81,1,,Partially cloudy,,,,,
Pokhara,1/2/2020 10:00,50,44.4,38.9,65.61,0,0,,0,0,31.1,16.1,200,1009.1,100,9.9,65,1,,Overcast,,,,,
Pokhara,1/2/2020 11:00,47.9,42,42.2,80.35,0,0,,0,0,28.9,15,190,1008.9,100,9.9,48,0,,Overcast,,,,,
Pokhara,1/2/2020 12:00,47,43.1,43.1,86.03,0,0,,0,0,,8.1,200,1008.1,100,9.9,35,0,,Overcast,,,,,
Pokhara,1/2/2020 13:00,47.9,44.7,43.1,83.17,0,0,,0,0,,6.9,190,1007.3,100,8.7,35,0,,Overcast,,,,,
Pokhara,1/2/2020 14:00,47.9,46,44.1,86.41,0,0,,0,0,,4.7,200,1007.4,100,9.9,24,0,,Overcast,,,,,
Pokhara,1/2/2020 15:00,47.9,47,45,89.42,0.011,100,rain,0,0,,3.4,160,1006.1,100,1.9,4,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 16:00,47.9,47.9,45,89.42,0.016,100,rain,0,0,,0,0,1006.6,93.4,5,4,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 17:00,47,47,45,92.5,0,0,,0,0,,0,0,1007,100,3.7,0,0,,Overcast,,,,,
Pokhara,1/2/2020 18:00,47,46,45,92.5,0.012,100,rain,0,0,,3.4,110,1006.4,100,3.1,0,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 19:00,47.9,47,46.1,93.45,0.035,100,rain,0,0,,3.4,110,1006.2,100,2.5,0,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 20:00,47.9,45.3,46.1,93.45,0.026,100,rain,0,0,,5.8,140,1006.4,100,3.1,0,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 21:00,47.9,47,46.1,93.45,0.02,100,rain,0,0,,3.4,140,1006,100,3.7,0,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 22:00,50,47.8,47.9,92.59,0.02,100,rain,0,0,,5.8,160,1006.3,100,3.7,0,0,,"Rain, Overcast",,,,,
Pokhara,1/2/2020 23:00,51.2,51.2,48.8,91.67,0.02,100,rain,0,0,,8.1,180,1006.6,100,6.2,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 0:00,51.2,51.2,48.8,91.67,0.084,100,rain,0,0,,4.7,170,1006.4,93.4,2.5,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 1:00,51.2,51.2,48.8,91.67,0.095,100,rain,0,0,,5.8,230,1006.5,100,2.5,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 2:00,51.2,51.2,48.8,91.67,0.045,100,rain,0,0,,0,0,1006.4,100,3.7,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 3:00,51.2,51.2,50,95.72,0.071,100,rain,0,0,,0,0,1006.6,100,0.6,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 4:00,51.2,51.2,48.8,91.67,0.055,100,rain,0,0,,0,0,1007.3,100,2.5,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 5:00,51.2,51.2,48.8,91.67,0.045,100,rain,0,0,,0,0,1008,93.4,3.7,0,0,,"Rain, Overcast",,,,,
Pokhara,1/3/2020 6:00,50,50,47.9,92.59,0.016,100,rain,0,0,,0,0,1008.3,72.6,8.1,0,0,,"Rain, Partially cloudy",,,,,
