Delivery Day,Hours,"Prices
(EUR/MWh)"
1/1/2020,H1,26.38
1/1/2020,H2,26.5
1/1/2020,H3,27.01
1/1/2020,H4,27.4
1/1/2020,H5,27.99
1/1/2020,H6,27.71
1/1/2020,H7,28.4
1/1/2020,H8,28.98
1/1/2020,H9,29.5
1/1/2020,H10,29.43
1/1/2020,H11,30.51
1/1/2020,H12,33.32
1/1/2020,H13,38.11
1/1/2020,H14,41.24
1/1/2020,H15,42.66
1/1/2020,H16,42.08
1/1/2020,H17,39.51
1/1/2020,H18,37.5
1/1/2020,H19,35.6
1/1/2020,H20,31.6
1/1/2020,H21,32.3
1/1/2020,H22,33.6
1/1/2020,H23,35.2
1/1/2020,H24,34
1/2/2020,H1,34.05
1/2/2020,H2,37.92
1/2/2020,H3,41.04
1/2/2020,H4,48.13
1/2/2020,H5,49.11
1/2/2020,H6,48.13
1/2/2020,H7,45.11
1/2/2020,H8,44
1/2/2020,H9,42.2
1/2/2020,H10,38.99
1/2/2020,H11,39.41
1/2/2020,H12,42.52
1/2/2020,H13,45.09
1/2/2020,H14,54
1/2/2020,H15,55.46
1/2/2020,H16,54.55
1/2/2020,H17,50.51
1/2/2020,H18,42.92
1/2/2020,H19,39.45
1/2/2020,H20,37.04
1/2/2020,H21,33.55
1/2/2020,H22,30.4
1/2/2020,H23,28.53
1/2/2020,H24,27.37
1/3/2020,H1,19.55
1/3/2020,H2,20.78
1/3/2020,H3,21.15
1/3/2020,H4,26.45
1/3/2020,H5,23.9
1/3/2020,H6,24.79
1/3/2020,H7,25.5
1/3/2020,H8,26.99
1/3/2020,H9,23.99
1/3/2020,H10,21.99
1/3/2020,H11,20.99
1/3/2020,H12,24.08
1/3/2020,H13,27.61
1/3/2020,H14,37.4
1/3/2020,H15,39.98
1/3/2020,H16,39.98
1/3/2020,H17,38.63
1/3/2020,H18,33.57
1/3/2020,H19,29.5
1/3/2020,H20,25
1/3/2020,H21,37
1/3/2020,H22,36.34
1/3/2020,H23,36.21
1/3/2020,H24,33.73
1/4/2020,H1,18.62
1/4/2020,H2,20.8
1/4/2020,H3,25.83
1/4/2020,H4,30.64
1/4/2020,H5,29.13
1/4/2020,H6,26.63
1/4/2020,H7,26.71
1/4/2020,H8,25
1/4/2020,H9,25.21
1/4/2020,H10,23.99
1/4/2020,H11,24.22
1/4/2020,H12,23.92
1/4/2020,H13,23.08
1/4/2020,H14,24.91
1/4/2020,H15,28.39
1/4/2020,H16,40.54
1/4/2020,H17,36.99
1/4/2020,H18,30.64
1/4/2020,H19,28.48
1/4/2020,H20,25.83
1/4/2020,H21,29.95
