datetime,Demand (MW),Name,Temperature,dewpoint,humidity,cloudcover,visibility,solarradiation,severerisk,conditions
1/1/2020 0:00,445.8,Pokhara,38.0,29.0,69.76,100.0,9.9,0.0,0.0,Overcast
1/1/2020 1:00,424.5,Pokhara,38.0,29.9,72.37,100.0,9.9,0.0,0.0,Overcast
1/1/2020 2:00,423.5,Pokhara,38.0,30.8,75.06,100.0,9.9,0.0,0.0,Overcast
1/1/2020 3:00,418.8,Pokhara,37.1,29.9,74.97,88.9,9.9,0.0,0.0,Partially cloudy
1/1/2020 4:00,414.8,Pokhara,35.1,29.0,78.41,0.0,9.9,0.0,0.0,Clear
1/1/2020 5:00,432.1,Pokhara,34.1,28.1,78.64,0.0,9.9,0.0,0.0,Clear
1/1/2020 6:00,436.8,Pokhara,32.0,26.1,78.51,0.0,9.9,0.0,0.0,Clear
1/1/2020 7:00,446.8,Pokhara,32.0,25.1,75.33,0.0,9.9,36.0,0.0,Clear
1/1/2020 8:00,453.5,Pokhara,33.2,26.1,74.88,0.0,9.9,188.0,0.0,Clear
1/1/2020 9:00,447.8,Pokhara,37.1,27.0,66.41,0.0,9.9,339.0,0.0,Clear
1/1/2020 10:00,446.1,Pokhara,41.0,26.1,55.03,0.0,9.9,447.0,0.0,Clear
1/1/2020 11:00,443.8,Pokhara,44.1,25.1,46.91,0.0,9.9,497.0,0.0,Clear
1/1/2020 12:00,441.4,Pokhara,46.1,27.0,46.93,0.0,9.9,492.0,0.0,Clear
1/1/2020 13:00,433.4,Pokhara,48.8,28.1,44.48,0.0,9.9,420.0,0.0,Clear
1/1/2020 14:00,435.0,Pokhara,51.2,26.1,37.45,0.0,9.9,302.0,0.0,Clear
1/1/2020 15:00,424.2,Pokhara,51.2,25.1,35.93,0.0,9.9,131.0,0.0,Clear
1/1/2020 16:00,432.8,Pokhara,50.0,24.2,36.15,0.0,9.9,1.0,0.0,Clear
1/1/2020 17:00,453.5,Pokhara,47.0,23.0,38.44,0.0,9.9,0.0,0.0,Clear
1/1/2020 18:00,486.0,Pokhara,45.0,24.2,43.66,0.0,9.9,0.0,0.0,Clear
1/1/2020 19:00,492.1,Pokhara,45.0,24.2,43.66,0.0,9.9,0.0,0.0,Clear
1/1/2020 20:00,494.3,Pokhara,45.0,24.2,43.66,0.0,9.9,0.0,0.0,Clear
1/1/2020 21:00,490.6,Pokhara,44.1,24.2,45.19,0.0,9.9,0.0,0.0,Clear
1/1/2020 22:00,473.8,Pokhara,43.1,24.2,46.95,0.0,9.9,0.0,0.0,Clear
1/1/2020 23:00,455.5,Pokhara,43.1,24.2,46.95,0.0,9.9,0.0,0.0,Clear
1/2/2020 0:00,442.9,Pokhara,42.2,25.1,50.45,0.0,9.9,0.0,0.0,Clear
1/2/2020 1:00,437.3,Pokhara,43.1,25.1,48.74,0.0,9.9,0.0,0.0,Clear
1/2/2020 2:00,434.8,Pokhara,42.2,26.1,52.59,0.0,9.9,0.0,0.0,Clear
1/2/2020 3:00,434.9,Pokhara,43.1,27.0,52.73,72.6,9.9,0.0,0.0,Partially cloudy
1/2/2020 4:00,435.7,Pokhara,44.1,28.1,53.23,100.0,9.9,0.0,0.0,Overcast
1/2/2020 5:00,459.0,Pokhara,44.1,29.0,55.23,27.3,9.9,0.0,0.0,Partially cloudy
1/2/2020 6:00,492.0,Pokhara,45.0,29.9,55.36,88.9,9.9,0.0,0.0,Partially cloudy
1/2/2020 7:00,524.6,Pokhara,47.0,30.8,53.12,100.0,9.9,8.0,0.0,Overcast
1/2/2020 8:00,541.2,Pokhara,48.8,33.2,54.56,88.9,9.9,38.0,0.0,Partially cloudy
1/2/2020 9:00,547.7,Pokhara,50.0,34.1,54.16,88.9,9.9,81.0,0.0,Partially cloudy
1/2/2020 10:00,555.1,Pokhara,50.0,38.9,65.61,100.0,9.9,65.0,0.0,Overcast
1/2/2020 11:00,564.5,Pokhara,47.9,42.2,80.35,100.0,9.9,48.0,0.0,Overcast
1/2/2020 12:00,569.4,Pokhara,47.0,43.1,86.03,100.0,9.9,35.0,0.0,Overcast
1/2/2020 13:00,564.0,Pokhara,47.9,43.1,83.17,100.0,8.7,35.0,0.0,Overcast
1/2/2020 14:00,564.9,Pokhara,47.9,44.1,86.41,100.0,9.9,24.0,0.0,Overcast
1/2/2020 15:00,571.5,Pokhara,47.9,45.0,89.42,100.0,1.9,4.0,0.0,"Rain, Overcast"
1/2/2020 16:00,554.6,Pokhara,47.9,45.0,89.42,93.4,5.0,4.0,0.0,"Rain, Overcast"
1/2/2020 17:00,570.7,Pokhara,47.0,45.0,92.5,100.0,3.7,0.0,0.0,Overcast
1/2/2020 18:00,569.8,Pokhara,47.0,45.0,92.5,100.0,3.1,0.0,0.0,"Rain, Overcast"
1/2/2020 19:00,568.8,Pokhara,47.9,46.1,93.45,100.0,2.5,0.0,0.0,"Rain, Overcast"
1/2/2020 20:00,562.6,Pokhara,47.9,46.1,93.45,100.0,3.1,0.0,0.0,"Rain, Overcast"
