iter	Passed	Remaining
0	1	143
1	2	133
2	3	128
3	5	124
4	6	122
5	7	117
6	8	115
7	9	113
8	11	113
9	12	111
10	13	109
11	14	108
12	15	106
13	17	105
14	18	104
15	19	102
16	20	101
17	21	99
18	23	98
19	25	100
20	26	97
21	27	97
22	28	95
23	29	93
24	30	91
25	32	91
26	33	90
27	34	89
28	36	88
29	38	89
30	39	88
31	40	86
32	41	84
33	42	83
34	43	81
35	44	79
36	46	78
37	47	77
38	48	76
39	49	74
40	51	73
41	52	72
42	53	71
43	55	70
44	56	68
45	57	67
46	58	66
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	68	53
56	70	52
57	72	52
58	73	50
59	74	49
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	118	3
97	119	2
98	120	1
99	121	0
